name,link,severity,package,version,fixedBy
CVE-2023-50387,https://avd.aquasec.com/nvd/cve-2023-50387,HIGH,libsystemd0,241-7~deb10u8,
CVE-2023-50868,https://avd.aquasec.com/nvd/cve-2023-50868,HIGH,libsystemd0,241-7~deb10u8,
CVE-2022-0891,https://avd.aquasec.com/nvd/cve-2022-0891,HIGH,libtiff5,4.1.0+git191117-2~deb10u2,4.1.0+git191117-2~deb10u4
CVE-2022-3970,https://avd.aquasec.com/nvd/cve-2022-3970,HIGH,libtiff5,4.1.0+git191117-2~deb10u2,4.1.0+git191117-2~deb10u5
CVE-2023-25434,https://avd.aquasec.com/nvd/cve-2023-25434,HIGH,libtiff5,4.1.0+git191117-2~deb10u2,4.1.0+git191117-2~deb10u7
CVE-2023-52355,https://avd.aquasec.com/nvd/cve-2023-52355,HIGH,libtiff5,4.1.0+git191117-2~deb10u2,
CVE-2023-52356,https://avd.aquasec.com/nvd/cve-2023-52356,HIGH,libtiff5,4.1.0+git191117-2~deb10u2,4.1.0+git191117-2~deb10u9
CVE-2021-39537,https://avd.aquasec.com/nvd/cve-2021-39537,HIGH,libtinfo6,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u5
CVE-2022-29458,https://avd.aquasec.com/nvd/cve-2022-29458,HIGH,libtinfo6,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u3
CVE-2023-29491,https://avd.aquasec.com/nvd/cve-2023-29491,HIGH,libtinfo6,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u5
CVE-2019-3843,https://avd.aquasec.com/nvd/cve-2019-3843,HIGH,libudev1,241-7~deb10u8,
CVE-2019-3844,https://avd.aquasec.com/nvd/cve-2019-3844,HIGH,libudev1,241-7~deb10u8,
CVE-2023-26604,https://avd.aquasec.com/nvd/cve-2023-26604,HIGH,libudev1,241-7~deb10u8,241-7~deb10u9
CVE-2023-50387,https://avd.aquasec.com/nvd/cve-2023-50387,HIGH,libudev1,241-7~deb10u8,
CVE-2023-50868,https://avd.aquasec.com/nvd/cve-2023-50868,HIGH,libudev1,241-7~deb10u8,
CVE-2023-1999,https://avd.aquasec.com/nvd/cve-2023-1999,HIGH,libwebp6,0.6.1-2+deb10u1,0.6.1-2+deb10u2
CVE-2023-4863,https://avd.aquasec.com/nvd/cve-2023-4863,HIGH,libwebp6,0.6.1-2+deb10u1,0.6.1-2+deb10u3
CVE-2023-3138,https://avd.aquasec.com/nvd/cve-2023-3138,HIGH,libx11-6,2:1.6.7-1+deb10u2,2:1.6.7-1+deb10u3
CVE-2023-43787,https://avd.aquasec.com/nvd/cve-2023-43787,HIGH,libx11-6,2:1.6.7-1+deb10u2,2:1.6.7-1+deb10u4
CVE-2023-3138,https://avd.aquasec.com/nvd/cve-2023-3138,HIGH,libx11-data,2:1.6.7-1+deb10u2,2:1.6.7-1+deb10u3
CVE-2023-43787,https://avd.aquasec.com/nvd/cve-2023-43787,HIGH,libx11-data,2:1.6.7-1+deb10u2,2:1.6.7-1+deb10u4
CVE-2017-16932,https://avd.aquasec.com/nvd/cve-2017-16932,HIGH,libxml2,2.9.4+dfsg1-7+deb10u2,
CVE-2022-2309,https://avd.aquasec.com/nvd/cve-2022-2309,HIGH,libxml2,2.9.4+dfsg1-7+deb10u2,
CVE-2022-23308,https://avd.aquasec.com/nvd/cve-2022-23308,HIGH,libxml2,2.9.4+dfsg1-7+deb10u2,2.9.4+dfsg1-7+deb10u3
CVE-2022-40303,https://avd.aquasec.com/nvd/cve-2022-40303,HIGH,libxml2,2.9.4+dfsg1-7+deb10u2,2.9.4+dfsg1-7+deb10u5
CVE-2022-40304,https://avd.aquasec.com/nvd/cve-2022-40304,HIGH,libxml2,2.9.4+dfsg1-7+deb10u2,2.9.4+dfsg1-7+deb10u5
CVE-2024-25062,https://avd.aquasec.com/nvd/cve-2024-25062,HIGH,libxml2,2.9.4+dfsg1-7+deb10u2,
CVE-2022-44617,https://avd.aquasec.com/nvd/cve-2022-44617,HIGH,libxpm4,1:3.5.12-1,1:3.5.12-1+deb10u1
CVE-2022-46285,https://avd.aquasec.com/nvd/cve-2022-46285,HIGH,libxpm4,1:3.5.12-1,1:3.5.12-1+deb10u1
CVE-2022-4883,https://avd.aquasec.com/nvd/cve-2022-4883,HIGH,libxpm4,1:3.5.12-1,1:3.5.12-1+deb10u1
CVE-2019-5815,https://avd.aquasec.com/nvd/cve-2019-5815,HIGH,libxslt1.1,1.1.32-2.2~deb10u1,1.1.32-2.2~deb10u2
CVE-2021-30560,https://avd.aquasec.com/nvd/cve-2021-30560,HIGH,libxslt1.1,1.1.32-2.2~deb10u1,1.1.32-2.2~deb10u2
CVE-2021-39537,https://avd.aquasec.com/nvd/cve-2021-39537,HIGH,ncurses-base,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u5
CVE-2022-29458,https://avd.aquasec.com/nvd/cve-2022-29458,HIGH,ncurses-base,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u3
CVE-2023-29491,https://avd.aquasec.com/nvd/cve-2023-29491,HIGH,ncurses-base,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u5
CVE-2021-39537,https://avd.aquasec.com/nvd/cve-2021-39537,HIGH,ncurses-bin,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u5
CVE-2022-29458,https://avd.aquasec.com/nvd/cve-2022-29458,HIGH,ncurses-bin,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u3
CVE-2023-29491,https://avd.aquasec.com/nvd/cve-2023-29491,HIGH,ncurses-bin,6.1+20181013-2+deb10u2,6.1+20181013-2+deb10u5
CVE-2022-0778,https://avd.aquasec.com/nvd/cve-2022-0778,HIGH,openssl,1.1.1d-0+deb10u7,1.1.1d-0+deb10u8
CVE-2022-1292,https://avd.aquasec.com/nvd/cve-2022-1292,HIGH,openssl,1.1.1d-0+deb10u7,1.1.1n-0+deb10u2
CVE-2022-2068,https://avd.aquasec.com/nvd/cve-2022-2068,HIGH,openssl,1.1.1d-0+deb10u7,1.1.1n-0+deb10u3
CVE-2022-4450,https://avd.aquasec.com/nvd/cve-2022-4450,HIGH,openssl,1.1.1d-0+deb10u7,1.1.1n-0+deb10u4
CVE-2023-0215,https://avd.aquasec.com/nvd/cve-2023-0215,HIGH,openssl,1.1.1d-0+deb10u7,1.1.1n-0+deb10u4
CVE-2023-0286,https://avd.aquasec.com/nvd/cve-2023-0286,HIGH,openssl,1.1.1d-0+deb10u7,1.1.1n-0+deb10u4
CVE-2023-0464,https://avd.aquasec.com/nvd/cve-2023-0464,HIGH,openssl,1.1.1d-0+deb10u7,1.1.1n-0+deb10u5
CVE-2020-16156,https://avd.aquasec.com/nvd/cve-2020-16156,HIGH,perl-base,5.28.1-6+deb10u1,
CVE-2023-31484,https://avd.aquasec.com/nvd/cve-2023-31484,HIGH,perl-base,5.28.1-6+deb10u1,
CVE-2018-25032,https://avd.aquasec.com/nvd/cve-2018-25032,HIGH,zlib1g,1:1.2.11.dfsg-1,1:1.2.11.dfsg-1+deb10u1
CVE-2021-37600,https://avd.aquasec.com/nvd/cve-2021-37600,MEDIUM,bsdutils,1:2.33.1-0.1,2.33.1-0.1+deb10u1
CVE-2021-22947,https://avd.aquasec.com/nvd/cve-2021-22947,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u3
CVE-2022-27774,https://avd.aquasec.com/nvd/cve-2022-27774,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u4
CVE-2022-27776,https://avd.aquasec.com/nvd/cve-2022-27776,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u3
CVE-2022-32206,https://avd.aquasec.com/nvd/cve-2022-32206,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u3
CVE-2022-32208,https://avd.aquasec.com/nvd/cve-2022-32208,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u3
CVE-2022-43552,https://avd.aquasec.com/nvd/cve-2022-43552,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u4
CVE-2023-23916,https://avd.aquasec.com/nvd/cve-2023-23916,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u5
CVE-2023-27535,https://avd.aquasec.com/nvd/cve-2023-27535,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u6
CVE-2023-27536,https://avd.aquasec.com/nvd/cve-2023-27536,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u6
CVE-2023-27538,https://avd.aquasec.com/nvd/cve-2023-27538,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u6
CVE-2023-28321,https://avd.aquasec.com/nvd/cve-2023-28321,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u7
CVE-2023-46218,https://avd.aquasec.com/nvd/cve-2023-46218,MEDIUM,curl,7.64.0-4+deb10u2,7.64.0-4+deb10u8
CVE-2024-2398,https://avd.aquasec.com/nvd/cve-2024-2398,MEDIUM,curl,7.64.0-4+deb10u2,
CVE-2021-37600,https://avd.aquasec.com/nvd/cve-2021-37600,MEDIUM,fdisk,2.33.1-0.1,2.33.1-0.1+deb10u1
CVE-2022-34903,https://avd.aquasec.com/nvd/cve-2022-34903,MEDIUM,gpgv,2.2.12-1+deb10u1,2.2.12-1+deb10u2
CVE-2021-37600,https://avd.aquasec.com/nvd/cve-2021-37600,MEDIUM,libblkid1,2.33.1-0.1,2.33.1-0.1+deb10u1
CVE-2016-10228,https://avd.aquasec.com/nvd/cve-2016-10228,MEDIUM,libc-bin,2.28-10,2.28-10+deb10u2
